.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
swamp,Swamp,Pantano,Marécage,Sumpf,Palude,Pântano,,,
sludge,Sludge,Lodo,Boue,Schlamm,Fango,Lama,,,

// Colors
black,Black,Negro,Noir,Schwarz,Nero,Preto,,,
white,White,Blanco,Blanc,Weiß,Bianco,Branco,,,
red,Red,Rojo,Rouge,Rot,Rosso,Vermelho,,,
lime,Lime,Lima,Citron vert,Limette,Lime,Lima,,,
blue,Blue,Azul,Bleu,Blau,Blu,Azul,,,
yellow,Yellow,Amarillo,Jaune,Gelb,Giallo,Amarelo,,,
aqua,Aqua,Agua,Eau,Aquamarin,Acqua,Aquamarinho,,,
cyan,Cyan,Cian,Cyan,Türkis,Ciano,Ciano,,,
magenta,Magenta,Magenta,Magenta,Magenta,Magenta,Magenta,,,
fuchsia,Fuchsia,Fucsia,Fuchsia,Fuchsia,Fucsia,Fúcsia,,,
silver,Silver,Plata,Argent,Silber,Argento,Prata,,,
gray,Gray,Gris,Gris,Grau,Grigio,Cinza,,,
maroon,Maroon,Marrón,Marron,Rotbraun,Marrone,Marrom,,,
olive,Olive,Oliva,Olive,Oliv,Oliva,Oliva,,,
green,Green,Verde,Vert,Grün,Verde,Verde,,,
purple,Purple,Púrpura,Violet,Violett,Porpora,Roxo,,,
teal,Teal,Turquesa,Sarcelle,Blaugrün,Turchese,Turquesa,,,
navy,Navy,Azul Marino,Bleu marine,Marineblau,Azzurro,Azul Marinho,,,

//Puzzles
image,Image,Mosaico,Image,Bild,Mosaico,Mosaico,,,
code,Code,Código,Code,Code,Codice,Código,,,
slide,Slide,Mecanismo,Mécanisme,Schieberaetsel,Meccanismo,Mecanismo,,,
SYMBOL,Symbol,Símbolo,,Symbol,,Símbolo,,,

// Events
Ordered,Ordered,Ordenado,Ordonné,Geordnet,Ordinato,Ordenado,,,
Random,Random,Aleatorio,Aléatoire,Zufällig,Casuale,Aleatório,,,

//Inherited from FFG localization files
SET_FIRE,Set Fire,Prender fuego,Mettre le feu,Feuer legen,Incendia,Tocar Fogo,Podpalenie,炎トークンを置く,點火
INVESTIGATOR_ELIMINATED,Investigator Eliminated,Investigador eliminado,Investigateur éliminé,Ermittler ausgeschieden,Investigatore Eliminato,Investigador Eliminado,Wyeliminowano badacza,探索者の死亡,調查員被消滅
CLOSE,Close,Cerrar,Fermer,Schließen,Chiudi,Fechar,Zamknij,閉じる,關閉
PUZZLE_GUESS,Guess,Resolver,Proposer,Raten,Indovina,Tentar,Sprawdź,入力,猜測

UP,Up,Arriba,Haut,Oben,Su,Para Cima,Góra,上,上
DOWN,Down,Abajo,Bas,Unten,Giù,Para Baixo,Dół,下,下
LEFT,Left,Izquierda,Gauche,Links,Sinistra,Para a Esquerda,Lewo,左,左
RIGHT,Right,Derecha,Droite,Rechts,Destra,Para a Direita,Prawo,右,右

PHASE_INVESTIGATOR,Investigator Phase,Fase de los Investigadores,Phase d'Investigateur,Ermittlerphase,Fase Degli Investigatori,Fase de Investigação,Faza badaczy,探索者フェイズ,調查階段
PHASE_MYTHOS,Mythos Phase,Fase de Mitos,Phase de Mythe,Mythosphase,Fase Dei Miti,Fase do Mito,Faza mitów,神話フェイズ,神秘階段
MONSTER_STEP,Monster Step,Paso de activación de monstruos,Étape de monstre,Monsterschritt,Sottofase dei Mostri,Passo dos Monstros,Etap potworów,モンスターの活動ステップ,怪物步驟
HORROR_STEP,Horror Step,Paso de Horror,Étape d'horreur,Mythosphase,Sottofase di Orrore,Passo dos Horrores,Etap przerażenia,恐怖判定ステップ,恐怖步驟
END_PHASE,End Phase,Fin de la fase,Terminer la phase,Phase beenden,Fine Fase,Fim de Fase,Koniec fazy,フェイズ終了,結束步驟

ATTACK_PROMPT,Weapon type to attack with?,¿Con qué tipo de arma vas a atacar?,Avec quel type d’arme allez-vous attaquer ?,Mit welcher Waffe?,Con quale tipo di arma vuoi attaccare?,Com que tipo de arma você quer atacar?,Jakim rodzajem broni atakujesz?,どの種類の武器で攻撃しますか？,你想在攻擊時使用哪種類型的武器？
ATTACK_WITH_HEAVY_WEAPON, Attack with a [i]Heavy Weapon[/i], Atacar con un [i]Arma pesada[/i], Attaquer avec une [i]Arme Lourde[/i], Mit einer [i]schweren Waffe[/i] angreifen, Attacca con un’[i]Arma Pesante[/i], Atacar com uma [i]Arma Pesada[/i], Atak [i]Ciężką bronią[/i], [i]大型武器[/i]で攻撃, 使用重型武器攻擊
ATTACK_WITH_BLADED_WEAPON, Attack with a [i]Bladed Weapon[/i], Atacar con un [i]Arma de filo[/i], Attaquer avec une [i]Arme Tranchante[/i], Mit einer [i]Klingenwaffe[/i] angreifen, Attacca con un’[i]Arma da Taglio[/i], Atacar com uma [i]Arma Branca[/i], Atak [i]Bronią sieczną[/i], [i]鋭利武器[/i]で攻撃, 使用銳器攻擊
ATTACK_WITH_FIREARM, Attack with a [i]Firearm[/i], Atacar con un [i]Arma de fuego[/i], Attaquer avec une [i]Arme à feu[/i], Mit einer [i]Schusswaffe[/i] angreifen, Attacca con un’[i]Arma da Fuoco[/i], Atacar com uma [i]Arma de Fogo[/i], Atak [i]Bronią palną[/i], [i]銃火器[/i]で攻撃, 使用槍械攻擊
ATTACK_WITH_SPELL, Attack with a Spell, Atacar con un Hechizo, Attaquer avec un Sort, Mit einem Zauber angreifen, Attacca con un Incantesimo, Atacar com um Feitiço, Atak Zaklęciem, 呪文で攻撃, 使用法術攻擊
ATTACK_WITH_UNARMED, Attack Unarmed, Atacar sin arma, Attaquer à mains nues, Unbewaffnet angreifen, Attacca Senza Armi, Atacar Desarmado, Atak bez broni, 素手で攻撃, 徒手攻擊

ACTION_X, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}
